"","companyId","avgOverallRating","numReviews"
"1","company237001",3,77
"2","company127713",NA,NA
"3","company35010",3.8,98
"4","company12085",NA,NA
"5","company05336",NA,NA
"6","company68429",NA,NA
"7","company74226",NA,NA
"8","company40336",NA,NA
"9","company208462",4,57
"10","company31587",4,46
"11","company48799",NA,NA
"12","company37253",2.7,64
"13","company36338",4.3,147
"14","company01946",3.5,97
"15","company19078",3.8,NA
"16","company125138",NA,NA
"17","company37685",NA,NA
"18","company00807",4.1,29
"19","company57827",3.8,73
"20","company00560",4,24
"21","company14279",4.1,84
"22","company17700",NA,NA
"23","company01146",3.4,10565
"24","company04423",4.4,125
"25","company109673",NA,NA
"26","company36768",NA,NA
"27","company75837",2,30
"28","company17755",NA,NA
"29","company00317",3.8,55
"30","company05173",4,61
"31","company03653",3.2,9
"32","company20264",4.1,95
"33","company19084",3.9,34
"34","company23377",NA,NA
"35","company13191",NA,NA
"36","company11543",NA,NA
"37","company06304",3.8,90
"38","company06833",3.5,7
"39","company05992",NA,NA
"40","company08721",4.1,31
"41","company08721",NA,NA
"42","company177385",NA,NA
"43","company83444",3,49
"44","company35917",4,58
"45","company05072",4.1,168
"46","company31240",NA,NA
"47","company219193",NA,NA
"48","company147168",3,55
"49","company220077",NA,NA
"50","company92991",NA,NA
"51","company08596",NA,NA
"52","company104307",NA,NA
"53","company68488",NA,NA
"54","company105860",3.7,36
"55","company02557",3.8,57
"56","company31371",3.1,262
"57","company02209",3.7,100
"58","company22102",3.6,203
"59","company33274",3.9,60
"60","company02436",NA,NA
"61","company00989",3.6,113
"62","company00989",NA,NA
"63","company46108",NA,NA
"64","company20212",NA,NA
"65","company99817",4.3,70
"66","company03234",NA,NA
"67","company01799",3.5,69
"68","company42131",3.3,35
"69","company05969",3.6,33
"70","company40584",4.1,24
"71","company08194",3.1,604
"72","company02333",4,95
"73","company02333",NA,NA
"74","company16849",4.1,87
"75","company22000",1,58
"76","company23596",NA,NA
"77","company236865",5,75
"78","company23883",4.1,284
"79","company25616",4,67
"80","company03071",3.7,43
"81","company28473",3.9,110
"82","company35068",3.5,28
"83","company183495",NA,NA
"84","company165127",NA,NA
"85","company165127",4.3,19
"86","company40722",NA,NA
"87","company29348",3.2,145
"88","company158308",NA,NA
"89","company160618",NA,NA
"90","company160618",3.8,NA
"91","company08781",3.4,41
"92","company10968",NA,NA
"93","company76215",NA,NA
"94","company91074",3.8,99
"95","company00900",3.2,157
"96","company13739",3.4,122
"97","company184982",4,81
"98","company108850",3,46
"99","company15923",NA,NA
"100","company00952",3.4,68
"101","company11755",2.8,47
"102","company98896",NA,NA
"103","company06221",3.7,28
"104","company71852",2.7,48
"105","company37784",NA,NA
"106","company68712",NA,NA
"107","company23013",NA,NA
"108","company115527",NA,NA
"109","company12735",4.2,202
"110","company138165",NA,NA
"111","company19425",3.6,25
"112","company16188",NA,NA
"113","company148163",4,47
"114","company24508",3.7,75
"115","company111381",NA,NA
"116","company00001",NA,NA
"117","company00553",NA,NA
"118","company188194",NA,NA
"119","company36086",3.4,36
"120","company37064",NA,NA
"121","company22054",NA,NA
"122","company11974",NA,NA
"123","company04947",3.3,53
"124","company41595",3.3,19
"125","company16258",NA,NA
"126","company00363",2.6,88
"127","company11531",4.1,44
"128","company11531",NA,NA
"129","company01311",3.7,94
"130","company123592",NA,NA
"131","company57694",NA,NA
"132","company36943",3.7,70
"133","company06592",NA,NA
"134","company147508",NA,NA
"135","company54622",NA,NA
"136","company110364",NA,NA
"137","company97980",NA,NA
"138","company17190",NA,NA
"139","company00841",NA,NA
"140","company83825",NA,NA
"141","company72454",NA,NA
"142","company138083",NA,NA
"143","company05913",4,657
"144","company19117",3.8,34
"145","company02485",3.8,697
"146","company02485",NA,NA
"147","company115003",NA,NA
"148","company10084",3.8,6
"149","company10084",NA,NA
"150","company00558",3.8,15
"151","company144176",NA,NA
"152","company97656",4,76
"153","company80410",5,26
"154","company220232",NA,NA
"155","company34358",NA,NA
"156","company184126",4.1,89
"157","company88559",NA,NA
"158","company76582",NA,NA
"159","company43699",4.3,39
"160","company01921",3.3,53
"161","company85174",NA,NA
"162","company20285",NA,NA
"163","company15643",NA,NA
"164","company34079",NA,NA
"165","company04887",3.9,67
"166","company17658",NA,NA
"167","company154180",NA,NA
"168","company11016",4,55
"169","company63121",NA,NA
"170","company63121",3.6,NA
"171","company16241",NA,NA
"172","company33320",4.5,65
"173","company166184",3.3,101
"174","company17719",1.8,96
"175","company26682",3.6,3630
"176","company19702",4,13
"177","company16063",NA,NA
"178","company64337",NA,NA
"179","company64839",NA,NA
"180","company07742",NA,NA
"181","company228881",NA,NA
"182","company38810",2.5,62
"183","company17193",2.9,61
"184","company02209",NA,NA
"185","company101710",NA,NA
"186","company86577",2.9,35
"187","company00892",NA,NA
"188","company07421",4.3,24
"189","company07421",NA,NA
"190","company18457",4.5,69
"191","company11708",3.1,90
"192","company36715",4.3,45
"193","company87066",NA,NA
"194","company18621",NA,NA
"195","company18621",3.4,83
"196","company17088",4,72
"197","company89690",NA,NA
"198","company205141",NA,NA
"199","company02033",NA,NA
"200","company43528",NA,NA
"201","company56946",3.3,109
"202","company03560",3.8,235
"203","company120515",3.5,83
"204","company171949",NA,NA
"205","company144508",2,96
"206","company02614",4.3,103
"207","company00983",3.5,96
"208","company37630",5,81
"209","company59227",NA,NA
"210","company96547",NA,NA
"211","company166621",NA,NA
"212","company91333",3.5,16
"213","company15933",3.1,37
"214","company00970",3.8,39
"215","company02278",NA,NA
"216","company00367",4,NA
"217","company104230",NA,NA
"218","company20614",NA,NA
"219","company03095",3.6,79
"220","company155017",NA,NA
"221","company41272",NA,NA
"222","company14673",3.8,111
"223","company15175",NA,NA
"224","company173095",NA,NA
"225","company22508",NA,NA
"226","company123566",4.2,87
"227","company64344",3.3,10
"228","company215368",1,16
"229","company31063",NA,NA
"230","company119029",NA,NA
"231","company03331",3.5,559
"232","company62180",NA,NA
"233","company28311",3.7,153
"234","company05356",3.6,54
"235","company02090",4.1,40
"236","company32365",NA,NA
"237","company06341",3.7,43
"238","company07582",3,91
"239","company04979",3.7,561
"240","company01932",3.7,81
"241","company01932",NA,NA
"242","company01543",NA,NA
"243","company11397",NA,NA
"244","company70681",5,5
"245","company00289",NA,NA
"246","company219136",NA,NA
"247","company107375",NA,NA
"248","company29053",NA,NA
"249","company04675",3.9,90
"250","company21291",NA,NA
"251","company126483",NA,NA
"252","company22291",NA,NA
"253","company00737",3.8,27
"254","company40963",3.4,NA
"255","company145514",NA,NA
"256","company28701",3,108
"257","company45720",3.4,83
"258","company03858",NA,NA
"259","company129943",NA,NA
"260","company02682",3.7,97
"261","company196816",NA,NA
"262","company122390",4,75
"263","company29475",NA,NA
"264","company18571",4.2,331
"265","company00950",3.6,48
"266","company60715",NA,NA
"267","company60715",2.9,NA
"268","company41544",3.7,93
"269","company02418",4.5,158
"270","company106129",3.5,28
"271","company35484",NA,NA
"272","company08171",3.9,121
"273","company192871",4,43
"274","company01332",3.7,160
"275","company04221",4.3,NA
"276","company04221",NA,NA
"277","company00361",3.8,9
"278","company21970",3.7,134
"279","company149665",3,9
"280","company104501",4.5,91
"281","company15272",NA,NA
"282","company13125",5,5
"283","company08634",3.5,50
"284","company76039",NA,NA
"285","company28012",3.6,86
"286","company17608",NA,NA
"287","company05890",3.9,71
"288","company118565",5,2
"289","company07427",3.9,70
"290","company35842",3.6,128
"291","company01709",3.6,101
"292","company07354",3.9,385
"293","company89758",3.9,100
"294","company01994",NA,NA
"295","company12360",2.9,195
"296","company188847",NA,NA
"297","company16509",NA,NA
"298","company07631",3.7,100
"299","company10797",NA,NA
"300","company95122",NA,NA
"301","company17217",NA,NA
"302","company131299",4,104
"303","company12365",3.7,623
"304","company136526",NA,NA
"305","company134370",3.4,89
"306","company188366",NA,NA
"307","company42764",NA,NA
"308","company12888",4.1,104
"309","company108564",NA,NA
"310","company154647",4.3,70
"311","company73080",NA,NA
"312","company73080",3,NA
"313","company223218",NA,NA
"314","company27618",4.1,102
"315","company27618",NA,NA
"316","company06853",NA,NA
"317","company03036",3.2,80
"318","company02689",4.8,109
"319","company03047",4,57
"320","company11227",NA,NA
"321","company07307",3.1,111
"322","company126658",4.3,38
"323","company190680",NA,NA
"324","company10405",3.7,69
"325","company70736",4.7,23
"326","company113238",NA,NA
"327","company27456",NA,NA
