"","companyId","jobId","stateProvince","industry","city","normTitle","normTitleCategory","experienceRequired","estimatedSalary","supervisingJob","licenseRequiredJob","educationRequirements","sum_of_clicks","sum_localclick","days","clickspday","locclickspday"
"1","company00001","job0016247","PA",NA,"Whitehall Township","delivery driver","driver",NA,21000,0,1,"None",635,21,45,14.1111111111111,0.466666666666667
"2","company00001","job0141078","CA",NA,"Lancaster","pizza cook","food",NA,26000,0,0,"None",1369,299,25,54.76,11.96
"3","company00001","job0882645","PA",NA,"York","shift manager","management",NA,30100,1,1,"None",702,149,44,15.9545454545455,3.38636363636364
"4","company00001","job0882645","PA",NA,"York",NA,NA,NA,30100,1,1,"None",41,25,2,20.5,12.5
"5","company00002","job0000002","AZ",NA,"Peoria","customer service representative","customer",NA,22800,0,0,"High School",12,2,1,12,2
"6","company00003","job0129208","CA",NA,"Auburn","host/hostess","food",NA,17900,0,0,"None",210,66,8,26.25,8.25
"7","company00003","job0175625","CA",NA,"Walnut","server","food",NA,26500,0,0,"None",36,3,2,18,1.5
"8","company00003","job0191678","WA",NA,"Pasco","server","food",NA,26400,0,0,"None",139,31,7,19.8571428571429,4.42857142857143
"9","company00003","job0210434","PA",NA,"Wilkes-Barre","host/hostess","food",NA,21800,0,0,"None",21,3,1,21,3
"10","company00003","job0216607","PA",NA,"Greensburg","host/hostess","food",NA,18100,0,0,"None",132,25,8,16.5,3.125
"11","company00003","job0270933","CA",NA,"San Diego","host/hostess","food",NA,18100,0,0,"None",281,159,8,35.125,19.875
"12","company00003","job0287658","MN",NA,NA,"host/hostess","food",NA,18100,0,0,"None",133,19,7,19,2.71428571428571
"13","company00003","job0300701","WV",NA,"Princeton","line cook","food",NA,20400,0,0,"None",170,31,11,15.4545454545455,2.81818181818182
"14","company00003","job0330527","MD",NA,"Salisbury","bartender","food",NA,26200,0,0,"None",71,41,4,17.75,10.25
"15","company00003","job0331468","IA",NA,"Fort Dodge","host/hostess","food",NA,22300,0,0,"None",41,3,2,20.5,1.5
"16","company00003","job0331526","PA",NA,"Lancaster","server","food",NA,16200,0,0,"None",10,1,1,10,1
"17","company00003","job0331634","NC",NA,"Goldsboro","general manager","management",NA,55200,0,0,"None",28,4,2,14,2
"18","company00003","job0336684","PA",NA,"Bloomsburg","dishwasher","food",NA,19800,0,0,"None",59,16,3,19.6666666666667,5.33333333333333
"19","company00003","job0413866","TX",NA,"Austin","kitchen manager","food",2,38500,1,1,"High School",203,64,13,15.6153846153846,4.92307692307692
"20","company00003","job0655322","MN",NA,"Hutchinson","restaurant manager","food",2,62000,1,1,"None",103,26,7,14.7142857142857,3.71428571428571
"21","company00003","job0818551","FL","RESTAURANTS_TRAVEL_AND_LEISURE","Margate","bartender","food",NA,17200,0,0,"None",502,0,32,15.6875,0
"22","company00003","job0818551","FL",NA,"Margate","bartender","food",NA,17200,0,0,"None",500,24,38,13.1578947368421,0.631578947368421
"23","company00023","job0083291","FL",NA,"Orlando","data analyst","techinfo",5,51800,0,1,"Higher Education",936,219,28,33.4285714285714,7.82142857142857
"24","company00023","job0221821","VA",NA,"Norfolk","unit manager","service",1,48600,1,1,"Higher Education",463,67,29,15.9655172413793,2.31034482758621
