,clickspday,counts,normTitleCategory,state
0,24.0,9.0,accounting,AK
1,35.60417,21.0,admin,AK
2,34.0,1.0,arts,AK
3,21.55556,1.0,aviation,AK
4,22.0,4.0,construction,AK
5,13.94737,8.0,customer,AK
6,17.757579999999997,7.0,driver,AK
7,19.249105,4.0,education,AK
8,20.55,2.0,finance,AK
9,16.043425,12.0,food,AK
10,21.1891891891892,3.0,hr,AK
11,20.83333,23.0,install,AK
12,17.692104999999998,4.0,insurance,AK
13,18.7701149425287,31.0,management,AK
14,23.0,11.0,manufacturing,AK
15,16.714285,2.0,meddr,AK
16,14.71429,1.0,media,AK
17,25.83787833333335,4.0,medinfo,AK
18,15.825,78.0,mednurse,AK
19,14.777779999999998,17.0,medtech,AK
20,15.54839,3.0,pharmacy,AK
21,18.14815,5.0,project,AK
22,23.69192055555555,8.0,protective,AK
23,16.7953296703297,18.0,retail,AK
24,19.310525,10.0,sales,AK
25,19.10625,4.0,science,AK
26,19.417579999999997,15.0,service,AK
27,28.06842,2.0,socialscience,AK
28,13.25806,3.0,techhelp,AK
29,26.17333,9.0,techinfo,AK
30,17.921879999999998,5.0,techsoftware,AK
31,14.95,7.0,therapy,AK
32,16.7,2.0,uncategorized,AK
33,26.57692,3.0,warehouse,AK
0,25.893620000000002,31.0,accounting,AL
1,33.58824,79.0,admin,AL
2,29.25,1.0,arch,AL
3,23.0,7.0,arts,AL
4,16.4375,3.0,aviation,AL
5,29.16129,3.0,care,AL
6,16.25,1.0,childcare,AL
7,21.782049999999998,24.0,construction,AL
8,33.1,40.0,customer,AL
9,15.375,211.0,driver,AL
10,20.9412315934066,30.0,education,AL
11,13.688889999999999,3.0,engchem,AL
12,18.663365,18.0,engcivil,AL
13,18.37589,14.0,engelectric,AL
14,18.766665,30.0,engid,AL
15,27.75,5.0,engmech,AL
16,20.69892306451615,6.0,finance,AL
17,14.791670000000002,45.0,food,AL
18,43.5,5.0,hospitality,AL
19,45.849725,20.0,hr,AL
20,20.57083333333335,132.0,install,AL
21,32.892855,8.0,insurance,AL
22,28.273070000000004,12.0,legal,AL
23,19.0,263.0,management,AL
24,23.0,36.0,manufacturing,AL
25,18.526320000000002,23.0,marketing,AL
26,16.938094999999997,14.0,math,AL
27,19.72222,1.0,meddental,AL
28,20.5,12.0,meddr,AL
29,29.178040000000003,10.0,media,AL
30,38.33333,15.0,medinfo,AL
31,15.263160000000001,133.0,mednurse,AL
32,19.0,39.0,medtech,AL
33,27.5,1.0,personal,AL
34,20.466666666666697,13.0,pharmacy,AL
35,20.478260000000002,39.0,project,AL
36,25.75248,13.0,protective,AL
37,70.25,5.0,realestate,AL
38,16.58836,156.0,retail,AL
39,23.9,103.0,sales,AL
40,33.30027,8.0,sanitation,AL
41,22.764879999999998,8.0,science,AL
42,22.93548,19.0,service,AL
43,15.68966,1.0,socialscience,AL
44,49.57143,3.0,sports,AL
45,18.6622776530612,32.0,techhelp,AL
46,22.1,44.0,techinfo,AL
47,16.6633663366337,79.0,techsoftware,AL
48,14.52222,21.0,therapy,AL
49,25.35644,5.0,transport,AL
50,17.44136214285715,38.0,uncategorized,AL
51,16.59091,1.0,veterinary,AL
52,28.0990099009901,37.0,warehouse,AL
0,19.368421052631604,39.0,accounting,AR
1,33.0,47.0,admin,AR
2,13.214285,2.0,agriculture,AR
